"!!startBlock|||||																									"
"ofi1_host_unin1|¿Ya llamaste a Gomez?|¿A Gomez? ¿Para qué?||ofi1_host_unin2																									"
"ofi1_host_unin2|¿Ah, no te dije? Sí, llamame a Gomez por favor. Decile que se demora tres días más el proyecto.||Bueno,  ¿le digo algo más? ||ofi1_host_unin4																									"
"ofi1_host_unin4|No, decile que se demoró todo y que imposible tener lo suyo en fecha.||Está bien, ahí llamo.||																									ofi1_host_unin5"
"|||Listo. Ah, ¿podemos hablar de algo?||ofi1_host_unin3																									"
ofi1_host_unin5|Ah, no, si, decile que me llegó lo que me mandó.||Le digo.||
"|||Le digo. Ah, me gustaría hablar de un tema personal...||ofi1_host_unin3																									"
"ofi1_host_unin3|Si, ¿pasa algo?||Quizás algún día llegue tarde porque estoy con problemas familiares.||ofi1_host_unin6																									"
"|||Tengo un problema de salud.||ofi1_host_unin7																									"
ofi1_host_unin6|Bueno, si me podés avisar con tiempo mejor, sino igual vemos cómo compensás las horas.||Listo, gracias.||
"ofi1_host_unin7|Ah, que mal… ¿Es algo grave?||Me dio positivo el test de VIH.|ofi1_host_unin8																									"
"|||No, anemia nada más.||ofi1_host_unin9																									"
ofi1_host_unin9|Uh, que mal. Bueno, cuidate, si necesitás pedirte días para ir al médico, lo hablamos.||Sí, gracias.||
"ofi1_host_unin8|¿SIDA? ¿Tenés SIDA?||No, tengo VIH, no estoy en estado de SIDA.||ofi1_host_unin10																									"
|||No corre riesgo mi trabajo, ¿no?||ofi1_host_unin11
ofi1_host_unin10|Ah… ¿es… distinto?||Sí, con VIH puedo vivir como cualquier persona con una enfermedad crónica.||ofi1_host_unin12
ofi1_host_unin11|No, no, por supuesto que no. Pero por las dudas marcate tu taza y las cosas que uses, y decile a los demás que no te agarren tus cosas.||||
ofi1_host_unin12|Bueno, como cualquier persona no, habrá cosas que no podés hacer.||Tengo que cuidarme, y tomar medicación, pero después sí, puedo hacer todo.||ofi1_host_unin13
ofi1_host_unin13|Ah, entonces no lo podés usar como excusa para no hacer bien tu trabajo… jeje.
"!!endBlock||||||																									"
