!!startBlock|||||
famhostil1|¡Hola! Llegaste tarde, ¿dónde estabas?||Nada. Haciendo cosas.||famhostil2
|||No importa. Tenemos que hablar.||famhostil3
famhostil2|¿Cosas? ¡Tan vago me saliste! Tendrías que estar ayudando en la casa.||Tengo cosas más importantes en la cabeza.||famhostil4
famhostil4|¿Qué es más importante que tus obligaciones?||No importa, no entenderías.||famhostil5
|||Sentate, tenemos que hablar.|InteractWithPlayer();|famhostil3
famhostil5|Tenía razón, seguro andabas vagando con esos amiguitos tuyos.||Tenés razón, mejor me voy a hacer algo productivo.||famhostil6
famhostil6|Andá, a ver si todavía me podés salir bueno.||
famhostil3|¿De qué tenemos que hablar? Más te vale que no sean excusas para llegar tarde.|| De nada, dejá.||famhostil5
|||Me hice el estudio de VIH. Soy positivo.||famhostil7
famhostil7|¿Qué? ¿Qué estás diciendo? ¿Tenés SIDA? Me muero, ¡nos vamos a contagiar todos y nos vamos a morir por tu culpa!||¡No! No quise decir eso. Nadie se va a morir, no te voy a contagiar por respirarte encima.||famhostil8
|||No tendría que haberte dicho nada. Nunca vas a entender.||famhostil9
famhostil9|¿Por qué Dios me castiga así?|||||
famhostil8|Pero te vas a morir como Freddy Mercury.||Mirá, te dejo un folleto, cuando te calmes, mejor leelo.||famhostil10
famhostil10|¿Por qué nos pasa esto? Si no somos como esas familias...|||||
!!endBlock||||||
