"!!startBlock|||||																									"
"ofi1_host_rej1|No sé en qué estás, pero me vas llamando a Gomez y le decís que lo suyo se posterga tres días.||Ya hago el llamado.||ofi1_host_rej2																									"
"|||Ya llamo. Por cierto, ¿puedo tener una reunión con usted?||ofi1_host_rej3																									"
"ofi1_host_rej2|No, ""ya"" no, ahora.||Es que justo estaba terminando algo.||ofi1_host_rej4																									"
"ofi1_host_rej4|Lo terminás después, esto es más urgente.||Está bien, ya mismo llamo.||																									"
"|||Llamo ahora mismo. ¿Después me puedo reunir con usted?||ofi1_host_rej3																									"
"ofi1_host_rej3|¿Una reunión? ¿Para qué? Si es para subirte el sueldo, olvidate, no hay plata.|| Sí, era para eso.||ofi1_host_rej5																									"
"|||No, no es eso… es que tengo un problema de salud.||ofi1_host_rej7																									"
ofi1_host_rej5|Bueno, en este momento es imposible.||Está bien, pregunto más adelante.||
"ofi1_host_rej7|¿Un problema de salud? ¿Qué problema tenés?||Tengo anemia.||ofi1_host_rej9																								"
"|||Me dio positivo el test de VIH.||ofi1_host_rej8																								"
ofi1_host_rej9|||Mientras eso no te impida hacer tu trabajo… Tratá de pedirte los turnos con el médico fuera del horario laboral.||
"ofi1_host_rej8|¡VIH! Bueno, eso es serio. No sé si vas a estar bien para hacer tu trabajo.||Sí, con la medicación voy a estar bien.||ofi1_host_rej10																									"
|||Estoy un poco mal de ánimo pero voy a estar mejor||ofi1_host_rej11
ofi1_host_rej10|||Igual por ahí te conviene buscarte un trabajo con horarios más flexibles, así podés manejar tus citas médicas.||
ofi1_host_rej11|||Fijate, por ahí necesitás conseguir un trabajo menos estresante. Acá no podemos parar el ritmo porque vos te andes pegando cosas.||
"!!endBlock||||||																									"
