"!!startBlock|||||																									"
"ofi2_host_rej1|Ya terminé todas mis tareas por hoy, odio tener que quedarme haciendo nada hasta la hora de salida. No me pagan suficiente para esto. En fin. ¿El finde hacés algo?||No creo. ¿Vos?||ofi2_host_rej2																									"
"|||No. Estoy medio mal.||ofi2_host_rej3																									"
"ofi2_host_rej2|Mis suegros nos invitan a una quinta. Una paja, obligaciones familiares, yo por mi haría algo divertido.||¿Te llevás mal con tus suegros?||ofi2_host_rej4																									"
"ofi2_host_rej4|No, pero decime si no es un bajón, pudiendo hacer cualquier otra cosa un sábado, como salir o algo.||Si, no sé.||ofi2_host_rej5																									"
"|||Sí. Es todo un bajón.||ofi2_host_rej3																									"
"ofi2_host_rej5|En fin, ya saldré otros sábados. Por lo menos me queda el domingo para pasear, o algo tiene que haber para hacer.||||																									"
"ofi2_host_rej3|¡Ey! ¡Cambiá ese ánimo de velorio! ¿Qué pasó, se murió alguien?|| No, qué se yo, temas personales.||ofi2_host_rej6																									"
"|||No… La verdad… soy VIH positivo. Y alguien me rechazó por eso.||ofi2_host_rej7																									"
"ofi2_host_rej6|Y bueno, viste el dicho. ""Si se puede solucionar, no te preocupes, y si no se puede solucionar, no te preocupes"".||Sí, voy a ver.||"
"ofi2_host_rej7|¿Qué? ¿Cómo que tenés SIDA? ¡No te quedes cerca mio!||No tengo SIDA, tengo VIH, y tampoco se contagia por aire.||ofi2_host_rej8																									"
"|||Te estoy diciendo que estoy mal, ¿y vos reaccionás de esa manera?||ofi2_host_rej9																									"
ofi2_host_rej9|¡Obvio que reacciono de esta manera! ¡Reacciono como se me canta! ¡Salí de acá, no me pegues eso! |||| 
"ofi2_host_rej8|Yo igual no me quiero arriesgar. Actuaste muy mal en no decirme antes. Obvio que te iban a rechazar, date cuenta, no te importan los demás.||No tenía por qué decirte nada, mi diagnóstico es mio y tengo derecho a que sea confidencial.||ofi2_host_rej10																									"
ofi2_host_rej10|Sos un asco. No te importa de nadie, y además andá a saber qué estuviste haciendo para pegarte eso. Alejate de mi.||||
"!!endBlock||||||																									"
