"!!startBlock|||||																									"
"fam2_host_fri1|¡Hola! ¿Te puedo pedir algo de plata prestada este mes? ¡Voy a tratar de devolverte el mes que viene!|Mucho no te puedo prestar, ya aporto lo que puedo.||fam2_host_fri2																									"
"|||No sé. En realidad necesito contarte algo.||fam2_host_fri3																									"
"fam2_host_fri2|Si, lo que puedas. Surgieron gastos imprevistos.||Me fijo cuánto te puedo prestar.||fam2_host_fri4																									"
"fam2_host_fri4|Si podés, ¿eh? Sino veo a quién le pido.||No te preocupes, algo tengo, si no te alcanza le pedís el resto a alguien más.||																									"
"|||Si, veo. En realidad quiero hablar con vos.||fam2_host_fri3																									"
"fam2_host_fri3|Dale, pongo unos mates y hablamos.||Cambié de idea, lo hablamos en otro momento.||																									fam_host_fri5"
"|||Me dio positivo un estudio de VIH que me hice.||fam2_host_fri7																									"
fam_host_fri5|Bueno, no te voy a obligar a hablar si no querés, pero sabés que si necesitás un oído, acá estoy.||Si, gracias.||
"fam2_host_fri7|Hijo… La verdad, no esperaba esto. Pero lo que te pasa a vos, nos pasa. Vamos a salir adelante. ||No sé… no caigo.||fam2_host_fri8																									"
"|||Si, da miedo pero creo que voy a estar bien. Gracias por el apoyo.||fam2_host_fri9																									"
"fam2_host_fri9|||Vení, dame un abrazo. Te quiero, pibe.||															"
"fam2_host_fri8|Claro, me imagino. Mirá, tenemos suerte, hoy el VIH es una enfermedad crónica.||Ya sé. Igual me asustan miles de cosas.||fam2_host_fri10																									"
|||Sí, ya me dijeron que los efectos secundarios de la medicación hoy no son tan severos, pero igual.||fam2_host_fri11
fam2_host_fri10|Y si. Pero la vida asusta. Ahora lo importante es que hagas caso a todo lo que te digan los médicos, y seas constante con la medicación.||Sí, es la idea.||
fam2_host_fri11|Si, mirá, mucho no sé de los efectos secundarios pero vamos a investigar. Vamos a hablar con todos los médicos que haga falta.||Gracias, sí, hagamos eso.||
"!!endBlock||||||																									"
